	kochsenescence.hypo 	kochsenescence.hypo,	kochsenescence.hypo,	kochsenescence.hypo,koch_senescence_hyper,fibroblasts_f6_hypo,fibroblasts_f8_hyper,fibroblasts_f8_hypo,fibroblasts_f6_hyper
ELK1 MA0028.1,MA0028.1,MA0028.1_ELK1,0.06,0.0422651353724,1e-100,0.00139452611734,0.06,4.25744572373e-05
GABPA MA0062.2,MA0062.2,MA0062.2_GABPA,0.06,0.06,0.00104668668979,0.00193849089384,0.06,0.00743712213578
Zic1 UP00102.1,UP00102.1,UP00102.1_Zic1,0.06,0.06,0.06,0.0116809369606,0.06,0.06
Zscan4 UP00026.1,UP00026.1,UP00026.1_Zscan4,0.06,0.06,2.32339107398e-07,0.00950945636964,0.06,0.06
Pax2 MA0067.1,MA0067.1,MA0067.1_Pax2,0.0264218662339,0.0264130606485,3.76809467906e-06,0.06,8.06621325289e-09,0.06
YY1 MA0095.1,MA0095.1,MA0095.1_YY1,0.06,0.06,0.000120932996835,0.06,0.00531572210001,0.06
Atf1 UP00020.1,UP00020.1,UP00020.1_Atf1,0.06,0.06,0.0259734499927,0.06,0.06,0.06
Gm397 UP00042.1,UP00042.1,UP00042.1_Gm397,0.06,0.06,0.00490919037557,0.06,0.06,0.06
Mtf1 UP00097.1,UP00097.1,UP00097.1_Mtf1,0.06,0.06,0.00631079292103,0.06,0.06,0.06
Zbtb3 UP00031.1,UP00031.1,UP00031.1_Zbtb3,0.06,0.06,0.06,0.06,0.0015419899279,0.00122511775005
Spz1 MA0111.1,MA0111.1,MA0111.1_Spz1,0.06,0.06,0.06,0.06,0.0222237536135,0.000154816868726
RORA1 MA0071.1,MA0071.1,MA0071.1_RORA1,0.06,0.06,0.06,0.06,0.00138561759658,0.06
Hnf4a UP00066.1,UP00066.1,UP00066.1_Hnf4a,0.06,0.06,0.06,0.06,3.60483398512e-05,0.06
HOXA5 MA0158.1,MA0158.1,MA0158.1_HOXA5,0.06,0.06,0.06,0.06,5.89528426076e-12,0.06
Rxra UP00053.1,UP00053.1,UP00053.1_Rxra,0.06,0.06,0.06,0.06,5.90396933331e-06,0.06
Tcfap2a UP00005.1,UP00005.1,UP00005.1_Tcfap2a,0.06,0.0223693505101,0.06,0.06,0.06,0.06
MIZF MA0131.1,MA0131.1,MA0131.1_MIZF,0.06,0.06,0.06,0.0432816521702,0.06,0.06
Jundm2 UP00103.1,UP00103.1,UP00103.1_Jundm2,0.06,0.06,0.0493328895827,0.06,0.06,0.06
E2F2 UP00001.1,UP00001.1,UP00001.1_E2F2,0.06,0.000284496691219,0.06,0.06,0.06,0.00249242245981
E2F3 UP00003.1,UP00003.1,UP00003.1_E2F3,0.06,9.44805706468e-05,0.06,0.06,0.0269603452119,0.06
E2F1 MA0024.1,MA0024.1,MA0024.1_E2F1,0.06,1.40395925998e-05,0.06,0.06,0.0429305083848,0.06
Klf7 UP00093.1,UP00093.1,UP00093.1_Klf7,0.0397309706894,0.00288107210017,0.06,0.06,0.06,0.06
Tcfap2e UP00028.1,UP00028.1,UP00028.1_Tcfap2e,0.06,0.00235068730427,0.06,0.06,0.06,0.06
Sp100 UP00049.1,UP00049.1,UP00049.1_Sp100,0.06,0.00682003120303,0.06,0.06,0.06,0.06
Tcfap2c UP00087.1,UP00087.1,UP00087.1_Tcfap2c,0.06,0.00722513284725,0.06,0.06,0.06,0.06
Gcm1 UP00070.1,UP00070.1,UP00070.1_Gcm1,0.00840225848064,0.06,0.06,0.06,0.06,0.06
Hoxd11 UP00117.1,UP00117.1,UP00117.1_Hoxd11_3873.1,0.00484788615941,0.06,0.06,0.06,0.06,0.06
Mybl1 UP00081.1,UP00081.1,UP00081.1_Mybl1,2.65964986604e-05,0.06,0.06,0.06,0.06,0.06
Myb UP00092.1,UP00092.1,UP00092.1_Myb,2.65964986604e-05,0.06,0.06,0.06,0.06,0.06
Homez UP00114.1,UP00114.1,UP00114.1_Homez_1063.2,8.99320917847e-07,0.06,0.06,0.06,0.06,0.06
IRC900814 UP00072.1,UP00072.1,UP00072.1_IRC900814,1.79029599401e-06,0.06,0.06,0.06,0.06,0.06
