CpG_ID,CHR,MAPINFO,Probe_SNPs,Probe_SNPs_10,Methyl27_Loci,UCSC_RefGene_Name,UCSC_RefGene_Group,UCSC_CpG_Islands_Name,Relation_to_UCSC_CpG_Island,R_laml_age,R_hannum_age,Mean_laml,Variance_laml,Mean_hannum,Variance_hannum,R_weidner_i0,R_horvath_i0,R_hannum_i0,R_inters_i0
cg06996273,1,3620729,,,NA,TP73;TP73;TP73;TP73,Body;Body;Body;Body,chr1:3623318-3623521,N_Shelf,0.0662641744279586,-0.0566648598520953,0.326980243282745,0.111880810057075,0.401848883079268,0.0100606919129194,-0.0759303620368734,-0.0389862474473339,-0.128005160802554,-0.00570893237951622
cg07171527,1,8377844,,,NA,,,chr1:8377784-8378447,Island,-0.163863469374704,0.0395012063009922,0.582676575103726,0.107369642580154,0.413983985457317,0.0111566702091984,0.237420749220333,0.0715551848397316,0.159877225493378,0.151462158908342
cg07322117,1,9498583,,,NA,,,,,0.0866711726933609,-0.0729978943689801,0.471384493492653,0.106298618449869,0.712447441158537,0.00234291812459736,0.209286157462003,0.216570449474675,0.0659407576025278,-0.0843569335957563
cg07357157,1,10690588,,,NA,PEX14,3'UTR,,,0.277068261001021,-0.0692079066971708,0.577377785346209,0.111037458864752,0.873163852073171,0.00174272334972046,0.12272766494229,0.131297226890411,-0.0186487408217017,-0.0102961298089763
cg07708622,1,21763251,,,NA,,,chr1:21763070-21763416,Island,-0.139047901856639,-0.0480119316110081,0.494169583708531,0.124895416179841,0.119052007378049,0.00281653645415505,0.288637605650586,0.076712700258451,0.161034297148821,0.153041627460729
cg07790615,1,237205174,,,NA,RYR2,TSS1500,chr1:237205126-237206644,Island,-0.239085350151024,0.137488141145612,0.430814772669739,0.113016008464505,0.0423151188094512,0.000794871741904083,0.454639586149655,0.359442501838741,0.320747987656807,0.280873391871736
cg07795928,1,226900896,rs77785461,,NA,ITPKB,Body,,,0.221279267998884,0.0511057648231283,0.475364284236031,0.120072514868294,0.854325993323171,0.00379218863654683,0.139771461912373,0.138722865724628,-0.0220328467003324,-0.00347861102094316
cg07805542,1,9779309,,,NA,PIK3CD,Body,chr1:9775708-9775997,S_Shelf,0.104265992063861,-0.194250649470414,0.392439262894242,0.107972742719431,0.387541845868902,0.00640300121412158,0.171756932773972,0.142830141387911,-0.0462245195646189,0.0238769296511938
cg07981328,1,21724633,,,NA,,,,,0.0286026789383553,-0.0550374452046984,0.389680766283473,0.104115953638601,0.399346480533537,0.0138655213397669,0.163481569442789,0.000457733602330579,0.0312483307515624,0.108127853130791
cg08640824,1,2162506,,,NA,SKI,Body,chr1:2158212-2161173,S_Shore,-0.158558060842784,0.112982790472295,0.478101112543835,0.100526939039875,0.407459324085366,0.0063225353840203,0.00749877759652878,0.0281288392714064,-0.0341623762701697,0.0528201567141795
cg08708961,1,227070630,,,NA,PSEN2;PSEN2,Body;Body,,,-0.07008909942006,0.019208939451772,0.393245577035788,0.122689300096455,0.248746571097561,0.00465833859202129,-0.288800318852132,-0.341641020162467,-0.209626375974327,0.0419446692936357
cg09187007,1,3514990,,,NA,MEGF6,Body,chr1:3511709-3512118,S_Shelf,0.253662482084171,-0.123302760549225,0.414143740308456,0.111257401496087,0.270585660228659,0.00452954103121334,0.17205113139091,-0.0183742650170726,-0.0778237520185066,0.0386082268780843
cg09272923,1,7730096,,,NA,CAMTA1,Body,,,-0.207483068527051,-0.244202910206684,0.511118626339396,0.101837622906269,0.288325773628049,0.00489119934167998,0.220580754644106,0.0869241863312693,0.0913798983453382,0.112558911629474
cg09763644,1,207103660,,,NA,PIGR,3'UTR,,,0.259249026302164,0.187411090285168,0.286604939098437,0.107817373983531,0.185307166905488,0.00466577322635606,-0.0187473548832451,0.0074478269980647,-0.175961178931106,-0.0789479523201012
cg09935388,1,92947588,,,NA,GFI1;GFI1;GFI1,Body;Body;Body,chr1:92945907-92952609,Island,0.13437052743045,-0.247577237584233,0.586211129882022,0.111823555043002,0.738210437195122,0.0054077435117391,0.297281128144864,0.269559071877324,0.0724985926951634,0.0409979743028191
cg09990962,1,3164431,,,NA,PRDM16;PRDM16,Body;Body,chr1:3163969-3164643,Island,0.00808141792335022,-0.0784488649985707,0.551319696168672,0.13428444831127,0.130016398472561,0.00339296833969775,0.149598353145172,0.0340341779901632,0.0740517641644718,0.0421402538490301
cg09993145,1,25291905,,,NA,RUNX3,TSS1500,,,0.243207851512595,0.167017820875696,0.335127231516894,0.121929552725723,0.523192873323171,0.0104174226504273,-0.0311842316115592,-0.138538786143081,-0.16063491019957,-0.188381619982496
cg10146935,1,871308,,,NA,SAMD11,Body,chr1:869332-871872,Island,-0.0681474547109813,-0.0669340416494129,0.519125051376641,0.113686013806619,0.24563462382622,0.0152797960661578,-0.0755539850353161,-0.180949406877509,-0.059782309459143,0.0658552920825235
cg10963061,1,158147729,,,NA,,,chr1:158147433-158147854,Island,0.0718252355866876,0.1054282422777,0.497077800645501,0.11548672077405,0.466784809969512,0.0148615763037487,0.297892535326433,0.244098564754513,0.185773278054673,0.249640675013251
cg11278262,1,155146720,,,TRUE,KRTCAP2;TRIM46,TSS1500;Body,chr1:155147185-155147444,N_Shore,-0.184106882840315,-0.0710034926518821,0.20456201616594,0.109535730764033,0.00705298707637195,8.16939102843359e-05,0.0135076610799062,-0.151463802476035,0.0406511815197249,0.150382334934442
cg11680055,1,110230252,,,NA,GSTM1;GSTM1,TSS200;TSS200,chr1:110230238-110230614,Island,-0.241511172986118,-0.125649480948273,0.450825288813486,0.100719421962421,0.304004457667683,0.0271951080028456,0.0570737099020844,-0.00655043903801983,-0.0287123058022048,0.174044779001779
cg11717597,1,156046546,,,NA,MEX3A,Body,chr1:156046343-156047384,Island,0.170102708723521,-0.196411479238683,0.572671667595225,0.102341828025746,0.466172330945122,0.00491972243481118,0.242969433749841,0.0777267815246556,-0.0140927711783969,0.0245721587850748
cg11731671,1,2995604,,,NA,PRDM16;PRDM16,Body;Body,chr1:2997272-2997473,N_Shore,0.0212257442985277,-0.304438043678769,0.43532042527949,0.104803048197343,0.363064080929878,0.00970432671473515,0.140764176798577,0.0946029345901147,-0.060035418883771,0.0255665172389706
cg11955474,1,27709791,,,NA,CD164L2;CD164L2,1stExon;5'UTR,chr1:27709600-27709831,Island,-0.116515945262291,0.228051875883087,0.586275865499713,0.109290145369211,0.130726067987805,0.00311176603323345,0.365982257686761,0.0884642092590386,0.151703763359124,0.28420490358421
cg12222949,1,184005360,,,NA,GLT25D2,Body,chr1:184005359-184006766,Island,-0.00232389059803795,-0.0526414246715263,0.615460443360088,0.11216168414132,0.361385057515244,0.00867951266806767,0.18619731851931,0.0841399826603608,0.0961659674655775,0.136168761530655
cg12621203,1,23750509,,,NA,TCEA3,Body,chr1:23750508-23751663,Island,-0.117987386426242,-0.116115943848117,0.495201177071815,0.140035863405999,0.101610607371951,0.00254878282441365,0.243153513331388,0.107276485066133,0.151184395968328,0.321941217801482
cg12911732,1,50744322,,,NA,,,,,-0.0218192529691267,0.102334471968334,0.422033854051967,0.111174366213923,0.137465760981707,0.00636453842231129,0.311915454877903,0.346813327690418,0.191624379039581,0.0655150735701988
cg13060114,1,36038950,rs11264176,,NA,TFAP2E,TSS200,chr1:36038927-36040051,Island,-0.0772054492280595,0.236712159814733,0.499335997825089,0.112754580922679,0.170551106234756,0.00552099368843344,0.196502487950594,-0.0266660640251795,0.0584608810344615,0.129402193341085
cg13184736,1,68299409,,,NA,GNG12,TSS1500,chr1:68298371-68299315,S_Shore,-0.187665468761399,0.0581000061023313,0.544031842029296,0.10765083971189,0.380987081615854,0.00945270004223647,0.306278017693006,0.289434735981395,0.194517058178187,0.190621802747223
cg13300273,1,200842890,,,NA,GPR25,1stExon,chr1:200842196-200843388,Island,-0.0449019724572433,0.163862123329682,0.506319956495655,0.107502583094037,0.305637076341463,0.00841694884147492,0.433836949867076,0.226892054582883,0.194617315807423,0.285588787581202
cg14171824,1,2006656,,,NA,PRKCZ;PRKCZ,Body;5'UTR,chr1:2005179-2005565,S_Shore,0.33314578799676,0.126278966490061,0.459957447219267,0.136378016661947,0.793181860533537,0.00304138821037753,0.112754496184868,0.083719229331109,-0.0479798498600913,-0.133869410329001
cg14511923,1,7842369,,,NA,,,chr1:7843460-7843693,N_Shore,0.0339828925797272,-0.0695075341617423,0.419321645916997,0.105525635026491,0.15999633664939,0.00405174555414987,-0.079958746450921,-0.180403742403636,-0.047835215903161,0.03755305641957
cg14709479,1,1108924,,,NA,TTLL10,TSS1500,chr1:1109314-1110145,N_Shore,-0.227214354704874,0.0395184900478842,0.541346322887084,0.100905100898013,0.323892300213415,0.0136464574992412,0.139654768606213,0.0256963590866694,0.128011735073324,0.249256080173232
cg14830045,1,1173264,,,NA,,,chr1:1173915-1174263,N_Shore,0.0756386521004117,0.0515974055742054,0.444830551717682,0.10814790917001,0.665417141158537,0.0074452845383365,0.00458473207792154,-0.0231718391111586,-0.0844423991157606,0.0283425030714171
cg15205435,1,6187920,,,NA,CHD5,Body,chr1:6187743-6188235,Island,-0.065656691176473,0.0132806142677975,0.589965774826074,0.119904857661248,0.173665120320122,0.00856115035466119,0.299383251223431,0.0647508145932375,0.104201369913672,0.261965789138483
cg15497761,1,155147397,,,NA,TRIM46,Body,chr1:155147185-155147444,Island,-0.124742863233697,-0.124291314338254,0.406992512804518,0.120875421466515,0.185806660381098,0.0062270773981818,0.125552957805508,-0.0867976316189553,0.0589670998837176,0.141784832335551
cg15564619,1,2163437,,,NA,SKI,Body,chr1:2158212-2161173,S_Shelf,-0.156232526176406,0.210728416765701,0.620450290799404,0.115380743389584,0.565712974237805,0.00471815163351828,0.0575552752359547,0.101990771367407,0.0859117486327571,0.0716850266874304
cg15712177,1,25236296,,,NA,RUNX3;RUNX3,Body;Body,chr1:25234428-25234807,S_Shore,0.00612168846253577,-0.286939217245132,0.68744748294042,0.103677098454914,0.730605817835366,0.00538735830954886,0.0773224638723276,0.101660414261237,-0.0668315712918031,0.0262239443159266
cg15830864,1,44877749,,,NA,RNF220,5'UTR,chr1:44871109-44874047,S_Shelf,-0.0384194109941633,-0.394492530160539,0.460400850192826,0.103031074217293,0.584266601539634,0.0104997686135399,-0.00333562063170524,0.0304281904730599,-0.16254637942582,0.0187144835293973
cg16057915,1,10690564,,,NA,PEX14,3'UTR,,,0.268215775026394,0.120816834769304,0.577297294772506,0.121685767667806,0.900262788567073,0.00200071939577643,0.118756805397476,0.137546071256877,-0.0216022319649263,-0.0114022508659547
cg16101008,1,10698719,,,NA,CASZ1,3'UTR,chr1:10698299-10698910,Island,0.062225520551708,0.0285784522641882,0.582689658380653,0.113004192471922,0.388109336615854,0.0094819218374716,0.416638657533909,0.20149235946469,0.167534607372223,0.241583906185156
cg16104276,1,44880317,,,NA,RNF220,Body,chr1:44883136-44884272,N_Shelf,-0.0402484370219788,-0.295685643541362,0.466455245112022,0.105796250171614,0.745837464939024,0.00254771211971669,-0.12094603756374,-0.0704753608658314,-0.241996441675946,-0.0548055864865864
cg16167741,1,41174793,,,NA,NFYC;NFYC;NFYC;NFYC;NFYC,5'UTR;5'UTR;5'UTR;5'UTR;5'UTR,,,0.0259491526382257,0.0462911889822384,0.481072621029268,0.10075448864621,0.181186850609756,0.00332556629182387,-0.00886786948428955,-0.0806654805586486,-0.125899750588603,0.134201411002864
cg16291276,1,208084071,,,NA,CD34;CD34,Body;Body,chr1:208084098-208084513,N_Shore,0.0216893715702976,0.0327381275121706,0.29895834742854,0.115438604645194,0.0614647233353659,0.000584604448657186,-0.170611366092377,-0.215549793937701,-0.0786323873231624,0.131106573038094
cg16312002,1,16554558,,,NA,,,chr1:16553326-16553660,S_Shore,-0.141852682444012,0.069444543089121,0.430937801437052,0.100539136341091,0.164039485697832,0.00523071366310602,0.248669326507049,0.0874731379405275,0.124146063860823,0.277882098671586
cg16366262,1,1118157,,,NA,TTLL10;TTLL10,Body;Body,chr1:1115574-1116006,S_Shelf,0.317776215123921,0.182631422085602,0.367711211294636,0.111089204043327,0.307580109893293,0.00855764996172063,0.18127318971291,0.105618125264512,0.00685449906111195,0.0826969302264425
cg16400794,1,27709850,,,NA,CD164L2,TSS200,chr1:27709600-27709831,S_Shore,-0.105762094252906,0.127838746283532,0.61704814033641,0.118145934748093,0.120124316371951,0.00225091744142378,0.391832290352668,0.121199146988368,0.13709409014147,0.223284423498087
cg17139085,1,36787356,,,NA,,,chr1:36786500-36789402,Island,0.0197230658361247,-0.312857825364935,0.519836248978013,0.100060036936311,0.509878036432927,0.00557449805438458,0.0578116717959675,0.0413365492474514,-0.11332645774182,0.149013243046681
cg17239057,1,224363575,,,NA,,,,,-0.0874479949838263,-0.183631455854117,0.571339295601623,0.102954644568477,0.486213748810976,0.0076259703058522,0.298975646435718,0.0899384894791123,0.0855978272035106,0.172739786254022
cg17463745,1,16554402,,,NA,,,chr1:16553326-16553660,S_Shore,-0.110582502624641,0.147726693274497,0.453757661123165,0.113080360130869,0.174661415320122,0.00642868395773777,0.362136309286568,0.172946875783263,0.182366162228349,0.282135651859491
cg17514528,1,11862907,rs1413355,,NA,MTHFR,Body,chr1:11865462-11866566,N_Shelf,-0.205946686663686,-0.36743166740667,0.617655381047875,0.102324191854226,0.372615698018293,0.00593897153726303,0.056662817978987,-0.103517645753637,0.0289374745760623,0.206690964075719
cg17745097,1,11863365,,,NA,MTHFR,5'UTR,chr1:11865462-11866566,N_Shelf,-0.205234805072636,-0.378677859235867,0.437438741724732,0.117542611945818,0.0917200524695122,0.000684215312173165,0.0534710095203659,-0.142580319098667,0.0259922012712996,0.217854075842431
cg17879856,1,3806715,,,NA,C1orf174,Body,chr1:3808490-3809236,N_Shore,0.22420077743837,-0.128608636993652,0.564015196330406,0.119182299167692,0.631551408902439,0.00570811820725859,0.079735221244756,0.0378636907134316,-0.051557896726424,0.0690224470257588
cg18128887,1,24861708,rs16829813,,NA,RCAN3,Body,chr1:24861702-24861920,Island,0.187384333075326,0.188236885476551,0.30714759488186,0.107991428737127,0.499629782637195,0.00613889487866641,-0.17872894692509,-0.0955364810393922,-0.243810940408344,-0.0479650577508598
cg18240463,1,3164415,,,NA,PRDM16;PRDM16,Body;Body,chr1:3163969-3164643,Island,-0.0104464102298784,-0.121839467090028,0.507188799983286,0.102682843111858,0.186326811509146,0.00218024111007866,0.14690125856196,0.0402846659243219,0.0816894232310075,0.0196809013325225
cg18322569,1,91182777,,,NA,BARHL2;BARHL2,5'UTR;1stExon,chr1:91182509-91182857,Island,-0.113811452843634,0.352215613634503,0.639960396750791,0.103557673699043,0.167469727804878,0.00524260367979481,0.302104999322028,0.230764300066154,0.336974931483772,0.252249016941074
cg19370684,1,1982688,,,NA,PRKCZ,Body,chr1:1981251-1983212,Island,-0.198368353652257,0.0498831475380312,0.58003575598377,0.101124650834846,0.171206202347561,0.0044246048221053,0.171428219235494,0.0491878721139979,0.111768355569435,0.22260563004113
cg19624849,1,145415412,,rs28940586,NA,HFE2;HFE2;HFE2;HFE2,5'UTR;5'UTR;5'UTR;Body,chr1:145415411-145415708,Island,-0.109854180350194,0.0539820949424409,0.41135758716973,0.105019427021315,0.053426028777439,0.000816373978083548,0.313509715539522,0.0241119598312056,0.132564417581244,0.226497598336709
cg19809499,1,47882265,,,NA,FOXE3,1stExon,chr1:47881896-47883065,Island,-0.152003982406931,0.369203010102011,0.289706035947925,0.111146247475796,0.0370738859357215,0.000902007488639405,0.515740858681941,0.46024086484532,0.387657628413998,0.240423547394329
cg20415053,1,26527928,,,NA,CATSPER4,Body,,,0.0871101389400366,-0.0585872674538269,0.603863302555865,0.119602852181753,0.466025494832317,0.0278144618689725,0.174527987903342,0.118985261306718,0.0047540195502377,0.0798190431970679
cg20449590,1,146551201,,,NA,,,chr1:146550290-146551260,Island,-0.127075796207603,0.0198997696895195,0.466523906015815,0.103652015572795,0.155557390147561,0.0135375517607619,0.36136711960653,0.270078439268119,0.315960274968875,0.270495905461986
cg20704560,1,10698313,,,NA,CASZ1,3'UTR,chr1:10698299-10698910,Island,0.123029744023824,0.0143121754614545,0.464744220479502,0.105206350221992,0.362898862347561,0.00538935667182064,0.316351444079664,0.110879185447852,0.111224334663254,0.112272930850998
cg20996351,1,27687232,rs55869163,rs56359841,NA,MAP3K6,Body,chr1:27687024-27687743,Island,0.0536475939897958,0.0363866878665768,0.387829266992513,0.108100081635867,0.105210345079268,0.00305409296575199,0.175678485288015,0.0684603468749615,0.00511231730717869,0.0944221421439519
cg21140898,1,51442318,rs34939362,,NA,,,chr1:51443311-51444036,N_Shore,0.0363980289706135,0.0861964693018988,0.655289509967649,0.105296561714842,0.30711913179878,0.00591528328170868,0.273071376035961,0.0543421003973325,0.22424919773352,0.186557259843943
cg21159128,1,54693933,,,NA,SSBP3;SSBP3;SSBP3,Body;Body;Body,,,0.012157063337242,-0.172309644974864,0.425635660672046,0.107364121782624,0.261484115670732,0.00652402424994704,0.085675074885053,0.109756628713949,-0.0463247771938547,0.0182887994970683
cg21996227,1,156130826,,,NA,SEMA4A,Body,,,-0.239244824779966,0.0770159035578685,0.318759989844171,0.109333702128505,0.0192275587135671,0.000142027179291384,0.00687422187342063,-0.0490235153447589,-0.0594059324575857,0.186918844736269
cg22721579,1,36787932,,,NA,FAM176B,Body,chr1:36786500-36789402,Island,0.101531084380921,-0.242567395795984,0.562081917307454,0.112711908007373,0.434749223018293,0.00630637821538486,0.222368956293426,0.0592432192560391,-0.0572512152128626,0.179328849132813
cg22797031,1,170630070,,,NA,,,chr1:170630456-170630851,N_Shore,-0.251022108330759,0.130856082391803,0.575405350006781,0.104926519430061,0.0669181315655488,0.00209552128988494,0.40774695631808,0.356212891323195,0.401912291010096,0.275610688120704
cg22877509,1,155290607,,,NA,RUSC1;RUSC1;C1orf104,TSS200;TSS200;Body,chr1:155290606-155291001,Island,-0.165739351350198,0.0407402574942389,0.298451737101461,0.10445845788785,0.0797001207926829,0.00108520261135787,0.220751685684114,0.0142094644845566,0.0775574940523394,0.119223578622115
cg23010538,1,190447290,rs74130790,,NA,FAM5C,TSS1500,,,-0.312720704979622,0.115486640054482,0.328289845359258,0.107475055162729,0.0546257888085366,0.00214276171134081,0.305355976217575,0.304200548129825,0.357033031601698,0.332959695611263
cg23270529,1,243584668,,,NA,SDCCAG8,Body,,,0.286575086174813,0.0613035156369806,0.654492152674964,0.101255545699966,0.905161569405488,0.00213786616904624,0.0661231936163831,-0.000604011126953277,-0.10843684385696,-0.0718313042120531
cg24004483,1,944783,,,NA,,,chr1:948670-948894,N_Shelf,0.11332316454677,-0.241229191594736,0.472520134080384,0.12446638793797,0.217376306202744,0.00656995586010325,0.172465310449392,0.123158279677696,0.000880130499274776,-0.0263061227005461
cg24368383,1,1565856,,,NA,MIB2;MIB2;MIB2;MIB2;MIB2;MIB2,Body;Body;Body;Body;Body;3'UTR,chr1:1564421-1570006,Island,-0.00672999374819126,0.105947175636594,0.260443912747831,0.100209296992032,0.041183740671189,0.00162909920223188,0.169201185012306,-0.0161160030077289,0.0437493066198798,0.0320635403269878
cg24442740,1,27902069,,,NA,AHDC1,5'UTR,chr1:27901660-27902688,Island,0.0957488960305144,-0.0245563564145592,0.329709215558013,0.101691728161224,0.266656512545732,0.00622649359664582,0.069647002748867,-0.0483348604816475,-0.121026572380667,0.0153681797076915
cg24467349,1,110254835,,,NA,GSTM5,TSS200,,,-0.238571578794896,-0.185728422921692,0.645230731485403,0.115540482298305,0.32314309123628,0.0365940717598146,0.112718337695636,0.014480653153801,0.0559429353297202,0.18857720453789
cg24506221,1,110230401,,,NA,GSTM1;GSTM1,TSS200;TSS200,chr1:110230238-110230614,Island,-0.182027958424878,-0.105277129437453,0.415838845360432,0.136499901486387,0.32841878999253,0.106951163012023,-0.00672794434879793,-0.00949078163970531,-0.0483890982154964,0.122929823768454
cg24544490,1,155290961,,,NA,RUSC1;RUSC1;C1orf104,5'UTR;5'UTR;Body,chr1:155290606-155291001,Island,-0.178163575792626,0.0293987393168695,0.397047979015595,0.110999969360316,0.202776149908537,0.00458416072599761,0.233109671163194,-0.0082268780842575,0.0817075024756238,0.168004667732246
cg24716879,1,235105872,,,NA,,,,,-0.0360527746192955,-0.0141882129422324,0.456751507752497,0.133810339847909,0.196592147332317,0.00545034441413197,0.303436289152864,0.0666573531164098,0.0627489491439067,0.116120522818883
